Functional_Area;Operating_Company;Service_Type;Ticket_Category;Ticket_Resolution;IRIS.Incident.Number;Priority;Prediction
FUN;DCF;FUN;SR;OK;42372,57569;Priority 3;OK
DCF;DCF;FUN;SR;OK;42373,21181;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,33403;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,41736;Priority 3;OK
DCF;DCF;FUN;SR;Defect;42373,42431;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,425;Priority 4;OK
FUN;DCF;FUN;SR;Defect;42373,43125;Priority 3;OK
SEC;DCF;SEC;SR;OK;42373,45208;Priority 3;OK
SEC;EES;SEC;SR;OK;42373,69495;Priority 3;OK
DCF;DCF;FUN;SR;Defect;42373,79236;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,36458;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,36528;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,38542;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,55486;Priority 4;OK
SEC;EES;SEC;SR;OK;42374,59911;Priority 3;OK
SEC;DCF;SEC;SR;OK;42374,60069;Priority 4;OK
FUN;DCF;FUN;SR;Defect;42374,83194;Priority 3;OK
SEC;DCF;SEC;SR;OK;42375,23194;Priority 4;OK
DCF;DCF;FUN;SR;OK;42375,23472;Priority 3;OK
SEC;DCF;SEC;SR;Defect;42375,23542;Priority 3;OK
SEC;DCF;SEC;SR;OK;42375,33542;Priority 4;OK
SEC;DCF;SEC;SR;OK;42375,36875;Priority 3;OK
FUN;DCF;FUN;SR;OK;42375,37569;Priority 3;OK
SEC;DCF;SEC;SR;OK;42375,43542;Priority 4;OK
DCF;DCF;FUN;SR;OK;42375,43958;Priority 4;OK
SEC;DCF;SEC;SR;OK;42375,56319;Priority 4;OK
SEC;EES;SEC;SR;OK;42376,03356;Priority 3;OK
SEC;DCF;SEC;SR;OK;42376,22014;Priority 4;OK
SEC;DCF;SEC;SR;OK;42376,25625;Priority 3;OK
TEC;DCF;TEC;SR;Defect;42376,40208;Priority 3;OK
FUN;DCF;FUN;SR;OK;42376,40556;Priority 3;OK
SEC;EES;SEC;SR;OK;42376,4439;Priority 3;OK
SEC;DCF;SEC;SR;OK;42376,64583;Priority 3;OK
SEC;DCF;SEC;SR;OK;42377,15833;Priority 3;OK
SEC;EES;SEC;SR;OK;42377,42622;Priority 3;OK
SEC;EES;SEC;SR;OK;42377,42865;Priority 3;OK
SEC;DCF;SEC;SR;OK;42377,44236;Priority 3;OK
SEC;DCF;SEC;SR;OK;42377,45486;Priority 4;OK
SEC;EES;SEC;SR;OK;42377,52605;Priority 3;OK
SEC;DCF;SEC;SR;OK;42380,34861;Priority 4;OK
DCF;DCF;FUN;INC;OK;42380,42361;Priority 3;OK
DCF;DCF;FUN;INC;OK;42380,63958;Priority 3;OK
SEC;DCF;SEC;SR;OK;42381,29236;Priority 3;OK
SEC;DCF;SEC;SR;Defect;42381,37431;Priority 3;OK
SEC;DCF;SEC;SR;OK;42381,49583;Priority 4;OK
SEC;DCF;SEC;SR;OK;42381,55556;Priority 4;OK
DCF;DCF;FUN;INC;OK;42381,60208;Priority 3;OK
SEC;DCF;SEC;SR;OK;42382,35833;Priority 4;OK
SEC;DCF;SEC;SR;OK;42382,36875;Priority 4;OK
SEC;DCF;SEC;SR;OK;42382,38889;Priority 4;OK
APS;DCF;APS;SR;OK;42382,46667;Priority 3;OK
SEC;DCF;SEC;SR;OK;42382,55903;Priority 4;OK
SEC;DCF;SEC;SR;OK;42382,575;Priority 4;OK
FUN;DCF;FUN;SR;OK;42382,69653;Priority 3;OK
APS;DCF;APS;SR;OK;42383,19792;Priority 3;OK
SEC;DCF;SEC;SR;OK;42383,30417;Priority 3;OK
SEC;DCF;SEC;SR;OK;42383,33472;Priority 3;OK
DCF;DCF;FUN;SR;OK;42383,37569;Priority 4;OK
FUN;DCF;FUN;INC;OK;42383,51458;Priority 3;OK
SEC;DCF;SEC;SR;OK;42384,28542;Priority 4;OK
SEC;DCF;SEC;SR;OK;42384,29931;Priority 4;OK
SEC;DCF;SEC;SR;OK;42384,36042;Priority 3;OK
SEC;DCF;SEC;SR;OK;42384,38125;Priority 4;OK
SEC;EES;SEC;SR;OK;42384,4133;Priority 3;OK
DCF;DCF;FUN;SR;OK;42387,18056;Priority 3;OK
SEC;DCF;SEC;SR;OK;42387,23889;Priority 3;OK
FUN;DCF;FUN;SR;OK;42387,38125;Priority 3;OK
DCF;DCF;FUN;SR;OK;42388,44792;Priority 3;OK
SEC;EES;SEC;SR;OK;42388,65935;Priority 3;OK
TEC;DCF;TEC;SR;OK;42389,20208;Priority 3;OK
SEC;DCF;SEC;SR;OK;42389,35;Priority 3;OK
SEC;DCF;SEC;SR;OK;42389,56736;Priority 3;OK
FUN;DCF;FUN;SR;OK;42390,2;Priority 3;OK
FUN;DCF;FUN;SR;Defect;42390,22292;Priority 3;OK
SEC;DCF;SEC;SR;OK;42391,31319;Priority 3;OK
SEC;DCF;SEC;SR;Defect;42391,41736;Priority 3;OK
TEC;DCF;TEC;SR;Defect;42391,625;Priority 3;OK
SEC;EES;SEC;SR;OK;42403,60811;Priority 3;OK
SEC;EES;SEC;SR;OK;42403,86381;Priority 3;OK
SEC;EES;SEC;SR;OK;42404,37285;Priority 3;OK
SEC;LAT;SEC;SR;OK;42408;Priority 4;OK
SEC;EES;SEC;SR;OK;42408,54904;Priority 3;OK
SEC;EES;SEC;SR;OK;42408,55029;Priority 3;OK
SEC;EES;SEC;SR;OK;42408,56942;Priority 3;OK
SEC;EES;SEC;SR;OK;42408,59705;Priority 3;OK
SEC;EES;SEC;SR;OK;42408,59782;Priority 3;OK
SEC;EES;SEC;SR;OK;42408,76075;Priority 3;OK
SEC;EES;SEC;SR;OK;42409,67429;Priority 3;OK
SEC;EES;SEC;SR;OK;42409,67463;Priority 3;OK
SEC;EES;SEC;SR;OK;42409,67649;Priority 3;OK
SEC;EES;SEC;SR;OK;42410,61087;Priority 3;OK
SEC;EES;SEC;SR;OK;42412,53905;Priority 3;OK
SEC;LAT;SEC;SR;OK;42414;Priority 4;OK
SEC;LAT;SEC;SR;OK;42418;Priority 4;OK
SEC;EES;SEC;SR;OK;42419,77394;Priority 3;OK
SEC;LAT;SEC;SR;OK;42421;Priority 4;OK
SEC;LAT;SEC;SR;OK;42423;Priority 4;OK
SEC;LAT;SEC;SR;OK;42427;Priority 4;OK
SEC;LAT;SEC;SR;OK;42428;Priority 4;OK
SEC;EES;SEC;SR;OK;42430,77288;Priority 3;OK
SEC;EES;SEC;SR;OK;42431,46277;Priority 3;OK
SEC;EES;SEC;SR;OK;42431,62359;Priority 3;OK
SEC;LAT;SEC;SR;OK;42432;Priority 4;OK
SEC;EES;SEC;SR;OK;42432,12722;Priority 3;OK
SEC;EES;SEC;SR;OK;42436,74422;Priority 3;OK
SEC;EES;SEC;SR;OK;42436,74779;Priority 3;OK
SEC;EES;SEC;SR;OK;42438,50872;Priority 3;OK
SEC;LAT;SEC;SR;OK;42439;Priority 4;OK
SEC;EES;SEC;SR;OK;42439,088;Priority 3;OK
SEC;EES;SEC;SR;OK;42439,92205;Priority 3;OK
SEC;EES;SEC;SR;OK;42440,53704;Priority 3;OK
SEC;EES;SEC;SR;OK;42443,61003;Priority 3;OK
SEC;EES;SEC;SR;OK;42443,83668;Priority 3;OK
SEC;LAT;SEC;SR;OK;42444;Priority 4;OK
SEC;EES;SEC;SR;OK;42444,5995;Priority 3;OK
SEC;EES;SEC;SR;OK;42444,8425;Priority 3;OK
SEC;EES;SEC;SR;OK;42446,43561;Priority 3;OK
SEC;EES;SEC;SR;OK;42452,71017;Priority 3;OK
SEC;LAT;SEC;SR;OK;42453;Priority 4;OK
SEC;EES;SEC;SR;OK;42453,00729;Priority 3;OK
SEC;EES;SEC;SR;OK;42463,64785;Priority 3;OK
SEC;EES;SEC;SR;OK;42466,55147;Priority 3;OK
SEC;EES;SEC;SR;OK;42467,5608;Priority 3;OK
SEC;EES;SEC;SR;OK;42467,56804;Priority 3;OK
SEC;EES;SEC;SR;OK;42467,58;Priority 3;OK
SEC;LAT;SEC;SR;Defect;42470;Priority 4;OK
SEC;EES;SEC;SR;OK;42471,7567;Priority 3;OK
SEC;LAT;SEC;SR;Defect;42472;Priority 4;OK
SEC;EES;SEC;SR;OK;42472,07894;Priority 3;OK
SEC;EES;SEC;SR;OK;42472,07948;Priority 3;OK
SEC;EES;SEC;SR;OK;42472,08288;Priority 3;OK
SEC;EES;SEC;SR;OK;42472,42132;Priority 3;OK
SEC;EES;SEC;SR;OK;42473,76052;Priority 3;OK
SEC;LAT;SEC;SR;OK;42475;Priority 4;OK
SEC;EES;SEC;SR;OK;42479,51311;Priority 3;OK
SEC;LAT;SEC;SR;OK;42482;Priority 4;OK
SEC;EES;SEC;SR;OK;42482,47164;Priority 3;OK
SEC;EES;SEC;SR;OK;42482,47747;Priority 3;OK
SEC;EES;SEC;SR;OK;42482,55737;Priority 3;OK
SEC;LAT;SEC;SR;OK;42487;Priority 4;OK
SEC;LAT;SEC;SR;OK;42493;Priority 4;OK
SEC;LAT;SEC;SR;OK;42494;Priority 4;OK
SEC;LAT;SEC;SR;OK;42498;Priority 4;OK
SEC;EES;SEC;SR;OK;42499,94699;Priority 3;OK
SEC;EES;SEC;SR;OK;42499,961;Priority 3;OK
SEC;LAT;SEC;SR;OK;42500;Priority 4;OK
SEC;EES;SEC;SR;OK;42500,61762;Priority 3;OK
SEC;EES;SEC;SR;OK;42502,55258;Priority 3;OK
SEC;LAT;SEC;SR;OK;42506;Priority 4;OK
SEC;LAT;SEC;SR;Defect;42507;Priority 4;OK
SEC;EES;SEC;SR;OK;42509,81985;Priority 3;OK
SEC;EES;SEC;SR;Defect;42509,81991;Priority 3;OK
SEC;EES;SEC;SR;OK;42510,77301;Priority 3;OK
SEC;EES;SEC;SR;OK;42513,47859;Priority 3;OK
SEC;EES;SEC;SR;OK;42513,50488;Priority 3;OK
SEC;LAT;SEC;SR;OK;42517;Priority 4;OK
SEC;EES;SEC;SR;OK;42523,64866;Priority 3;OK
SEC;EES;SEC;SR;OK;42523,64919;Priority 3;OK
SEC;EES;SEC;SR;OK;42523,64935;Priority 3;OK
SEC;EES;SEC;SR;OK;42523,6516;Priority 3;OK
SEC;EES;SEC;SR;OK;42523,66865;Priority 3;OK
SEC;LAT;SEC;SR;Defect;42524;Priority 4;OK
SEC;LAT;SEC;SR;Defect;42527;Priority 4;OK
SEC;EES;SEC;SR;OK;42527,42105;Priority 3;OK
SEC;EES;SEC;SR;OK;42527,66404;Priority 3;OK
SEC;EES;SEC;SR;OK;42528,49685;Priority 3;OK
SEC;LAT;SEC;SR;Defect;42530;Priority 4;OK
SEC;EES;SEC;SR;OK;42531,42117;Priority 3;OK
SEC;EES;SEC;SR;OK;42531,64414;Priority 3;OK
SEC;LAT;SEC;SR;OK;42532;Priority 4;OK
SEC;EES;SEC;SR;OK;42534,43795;Priority 3;OK
SEC;EES;SEC;SR;OK;42534,77194;Priority 3;OK
SEC;EES;SEC;SR;OK;42534,77262;Priority 3;OK
SEC;LAT;SEC;SR;OK;42535;Priority 4;OK
SEC;LAT;SEC;SR;OK;42538;Priority 4;OK
SEC;EES;SEC;SR;OK;42538,52042;Priority 3;OK
SEC;LAT;SEC;SR;OK;42539;Priority 4;OK
SEC;LAT;SEC;SR;OK;42541;Priority 4;OK
SEC;LAT;SEC;SR;OK;42542;Priority 4;OK
SEC;EES;SEC;SR;OK;42544,40961;Priority 3;OK
SEC;LAT;SEC;SR;OK;42545;Priority 4;OK
SEC;LAT;SEC;SR;OK;42548;Priority 4;OK
SEC;LAT;SEC;SR;OK;42549;Priority 4;OK
SEC;LAT;SEC;SR;OK;42551;Priority 4;OK
SEC;EES;SEC;SR;OK;42553,38705;Priority 3;OK
SEC;EES;SEC;SR;OK;42553,40554;Priority 3;OK
SEC;LAT;SEC;SR;OK;42559;Priority 4;OK
SEC;EES;SEC;SR;OK;42563,00713;Priority 3;OK
SEC;EES;SEC;SR;OK;42564,44356;Priority 3;OK
SEC;EES;SEC;SR;OK;42564,77219;Priority 3;OK
SEC;EES;SEC;SR;OK;42564,7748;Priority 3;OK
SEC;EES;SEC;SR;OK;42565,61137;Priority 3;OK
SEC;EES;SEC;SR;OK;42569,54652;Priority 3;OK
SEC;LAT;SEC;SR;OK;42571;Priority 4;OK
SEC;EES;SEC;SR;OK;42571,70894;Priority 3;OK
SEC;EES;SEC;SR;OK;42571,70895;Priority 3;OK
SEC;EES;SEC;SR;OK;42572,07888;Priority 3;OK
SEC;EES;SEC;SR;OK;42572,70491;Priority 3;OK
SEC;EES;SEC;SR;OK;42573,09691;Priority 3;OK
SEC;EES;SEC;SR;OK;42573,1009;Priority 3;OK
SEC;EES;SEC;SR;OK;42575,60934;Priority 3;OK
SEC;LAT;SEC;SR;OK;42576;Priority 4;OK
SEC;EES;SEC;SR;OK;42583,09635;Priority 3;OK
SEC;EES;SEC;SR;OK;42584,33742;Priority 3;OK
SEC;EES;SEC;SR;OK;42584,33765;Priority 3;OK
SEC;EES;SEC;SR;OK;42584,33777;Priority 3;OK
SEC;EES;SEC;SR;Defect;42584,62023;Priority 3;OK
SEC;EES;SEC;SR;OK;42587,00654;Priority 3;OK
SEC;EES;SEC;SR;Defect;42587,50757;Priority 3;OK
SEC;EES;SEC;SR;Defect;42587,81817;Priority 3;OK
SEC;LAT;SEC;SR;OK;42588;Priority 4;OK
SEC;LAT;SEC;SR;Defect;42590;Priority 4;OK
SEC;EES;SEC;SR;Defect;42590,4635;Priority 3;OK
SEC;EES;SEC;SR;Defect;42590,46531;Priority 3;OK
SEC;EES;SEC;SR;Defect;42590,46632;Priority 3;OK
SEC;EES;SEC;SR;Defect;42590,64848;Priority 3;OK
SEC;LAT;SEC;SR;OK;42591;Priority 4;OK
SEC;LAT;SEC;SR;OK;42593;Priority 4;OK
SEC;EES;SEC;SR;Defect;42597,5724;Priority 3;OK
